NK011766.CDS.3	1433B_HUMAN
AS259454.CDS.2	1433E_HUMAN
SA618822.CDS.2	1433F_HUMAN
SM245773.CDS.1	1433G_HUMAN
JA75202706.CDS.1	1433S_HUMAN
W42194.CDS.3	1433T_HUMAN
M94361.CDS.2	1433Z_HUMAN
UQ735741.CDS.1	1A01_HUMAN
U40151.CDS.3	1A02_HUMAN
NN92961689.CDS.1	1A03_HUMAN
CC55892345	1A11_HUMAN
UF770898.CDS.1	1A1L1_HUMAN
RK79144417.CDS.3	1A1L2_HUMAN
QK975973.CDS.1	1A23_HUMAN
WO480589	1A24_HUMAN
D16838.CDS.3	1A25_HUMAN
R84139.CDS.1	1A26_HUMAN
U27413.CDS.1	1A29_HUMAN
IN041614	1A30_HUMAN
MQ66454142.CDS.2	1A31_HUMAN
GJ155866.CDS.2	1A32_HUMAN
I85052.CDS.2	1A33_HUMAN
YC243097.CDS.2	1A34_HUMAN
FN76155737.CDS.2	1A36_HUMAN
YA69675418.CDS.1	1A43_HUMAN
WP74988310	1A66_HUMAN
KW92423799.CDS.1	1A68_HUMAN
YU30009852.CDS.1	1A69_HUMAN
S10086.CDS.1	1A74_HUMAN
E68876.CDS.1	1A80_HUMAN
UG946272.CDS.1	1B07_HUMAN
BI367279.CDS.1	1B08_HUMAN
QY678167.CDS.1	1B13_HUMAN
KH42658162.CDS.1	1B14_HUMAN
D04397.CDS.1	1B15_HUMAN
A77491.CDS.1	1B18_HUMAN
IP11488426.CDS.1	1B27_HUMAN
AL50700979.CDS.1	1B35_HUMAN
ZO86875147.CDS.2	1B37_HUMAN
T73374.CDS.1	1B38_HUMAN
DS466574.CDS.1	1B39_HUMAN
GU430626.CDS.1	1B40_HUMAN
KT391862.CDS.2	1B41_HUMAN
LB472742.CDS.2	1B42_HUMAN
PB093425.CDS.3	1B44_HUMAN
KC56805196.CDS.3	1B45_HUMAN
ZG36831913.CDS.2	1B46_HUMAN
YD59294301.CDS.2	1B47_HUMAN
S74519.CDS.2	1B48_HUMAN
RK733907.CDS.1	1B49_HUMAN
HE15738168.CDS.1	1B50_HUMAN
GD94513754.CDS.2	1B51_HUMAN
YP33523980.CDS.2	1B52_HUMAN
O05321.CDS.1	1B53_HUMAN
LL77401008.CDS.1	1B54_HUMAN
N92161.CDS.2	1B55_HUMAN
W63816.CDS.1	1B56_HUMAN
LZ87569320.CDS.2	1B57_HUMAN
QE63922183.CDS.1	1B58_HUMAN
P02532.CDS.1	1B59_HUMAN
U69670.CDS.1	1B67_HUMAN
O68546.CDS.1	1B73_HUMAN
S10207.CDS.1	1B78_HUMAN
XG20759160.CDS.1	1B81_HUMAN
Q95235.CDS.1	1B82_HUMAN
ET249844.CDS.1	1C01_HUMAN
T72916.CDS.1	1C02_HUMAN
M70254.CDS.1	1C03_HUMAN
CY23714821.CDS.3	1C04_HUMAN
IL81924584	1C05_HUMAN
HW00909497.CDS.1	1C06_HUMAN
AK26834913.CDS.1	1C07_HUMAN
SJ60406556.CDS.2	1C08_HUMAN
Z52048	1C12_HUMAN
RK89474239.CDS.1	1C14_HUMAN
XB32677803.CDS.1	1C15_HUMAN
YS201952	1C16_HUMAN
PQ780181.CDS.1	1C17_HUMAN
BD773498	1C18_HUMAN
RP49203126.CDS.1	2A5A_HUMAN
AJ99619162.CDS.1	2A5B_HUMAN
UP502645.CDS.1	2A5D_HUMAN
PL25373097.CDS.1	2A5E_HUMAN
Y22156.CDS.1	2A5G_HUMAN
CF14615311.CDS.1	2AAA_HUMAN
FL603044.CDS.1	2AAB_HUMAN
LR59001164.CDS.1	2ABA_HUMAN
RD522689.CDS.1	2ABB_HUMAN
EX54976364.CDS.1	2ABD_HUMAN
ZE991644.CDS.1	2ABG_HUMAN
TL28119410.CDS.1	2B11_HUMAN
UI626676	2B13_HUMAN
TS80179475.CDS.1	2B14_HUMAN
WQ563581	2B17_HUMAN
E34921.CDS.3	2B18_HUMAN
E43739	2B19_HUMAN
QN635981.CDS.1	2B1A_HUMAN
HZ556311	2B1B_HUMAN
XA12373701.CDS.3	2B1C_HUMAN
I40458.CDS.1	2B1D_HUMAN
BR76421920.CDS.1	2B1E_HUMAN
ON691918.CDS.1	2B1F_HUMAN
AM020968.CDS.2	2B1G_HUMAN
HK57964519.CDS.1	3BHS1_HUMAN
TD43376259	3BHS2_HUMAN
GY163203	3BHS7_HUMAN
WN811368.CDS.1	3BP1_HUMAN
DE50077695.CDS.3	3BP2_HUMAN
PE908337.CDS.2	3BP5L_HUMAN
X46892.CDS.1	3BP5_HUMAN
PO425995.CDS.1	3HAO_HUMAN
XF276344.CDS.1	3HIDH_HUMAN
TW71000537.CDS.2	3MG_HUMAN
SZ537442.CDS.2	41_HUMAN
PB58961747.CDS.2	4EBP1_HUMAN
U65934.CDS.2	4EBP2_HUMAN
PU52094547.CDS.1	4EBP3_HUMAN
CF297838.CDS.1	4ET_HUMAN
JW338994.CDS.3	4F2_HUMAN
Z79468.CDS.1	5HT1A_HUMAN
SH103381.CDS.2	5HT1B_HUMAN
T82640.CDS.1	5HT1D_HUMAN
DT15361503.CDS.2	5HT1E_HUMAN
L39824.CDS.1	5HT1F_HUMAN
JL88378642.CDS.1	5HT2A_HUMAN
HA75706032.CDS.3	5HT2B_HUMAN
YH780729.CDS.3	5HT2C_HUMAN
FK231227.CDS.1	5HT3A_HUMAN
BD22561117	5HT3B_HUMAN
SA92619890	5HT3C_HUMAN
M78480.CDS.2	5HT3D_HUMAN
EO920360.CDS.2	5HT3E_HUMAN
ZG661944.CDS.1	5HT4R_HUMAN
WK141912.CDS.1	5HT5A_HUMAN
BN47200817	5HT6R_HUMAN
I83647.CDS.2	5HT7R_HUMAN
UA635561.CDS.2	5NT1A_HUMAN
ZM842090.CDS.1	5NT1B_HUMAN
QD939100.CDS.1	5NT3A_HUMAN
QB699708.CDS.1	5NT3B_HUMAN
UX86468841.CDS.3	5NTC_HUMAN
ZU268250.CDS.3	5NTD_HUMAN
FZ136702.CDS.2	6PGD_HUMAN
J19179.CDS.3	6PGL_HUMAN
IX236384.CDS.1	7B2_HUMAN
DI89502261.CDS.2	8ODP_HUMAN
OH81825708.CDS.1	A14EL_HUMAN
PT79291815.CDS.1	A16A1_HUMAN
N58221.CDS.1	A16L1_HUMAN
R88433.CDS.1	A16L2_HUMAN
EQ34128388.CDS.3	A1AG1_HUMAN
EZ426775.CDS.1	A1AG2_HUMAN
EG771270.CDS.1	A1ATR_HUMAN
XG006920.CDS.2	A1AT_HUMAN
XZ649445.CDS.1	A1BG_HUMAN
WU693527.CDS.1	A1CF_HUMAN
NL80108615	A2012_HUMAN
CW86991036.CDS.1	A20A1_HUMAN
JZ10616126.CDS.1	A20A2_HUMAN
PT59287785	A20A3_HUMAN
Y33071.CDS.1	A20A4_HUMAN
RQ605289.CDS.1	A20A5_HUMAN
QD74915045.CDS.2	A26L1_HUMAN
NZ309324.CDS.1	A2AP_HUMAN
CN578229.CDS.1	A2GL_HUMAN
UZ01680222.CDS.1	A2MG_HUMAN
GB237644.CDS.1	A2ML1_HUMAN
KA050977.CDS.2	A30BL_HUMAN
F74637.CDS.1	A3LT2_HUMAN
S13349.CDS.1	A4AS1_HUMAN
WH979774.CDS.1	A4GAT_HUMAN
UN581323	A4GCT_HUMAN
UQ39537130	A4_HUMAN
TT936484.CDS.1	A7L3B_HUMAN
A27614.CDS.1	AA1R_HUMAN
UO130130.CDS.3	AA2AR_HUMAN
Q78388.CDS.2	AA2BR_HUMAN
BH999525.CDS.1	AA3R_HUMAN
RZ52760694	AAA1_HUMAN
ED948096.CDS.1	AAAD_HUMAN
P15051.CDS.1	AAAS_HUMAN
W15671.CDS.1	AAAT_HUMAN
U64633.CDS.2	AACS_HUMAN
MY268527.CDS.1	AACT_HUMAN
MA65427162	AADAT_HUMAN
GF73005119.CDS.1	AAGAB_HUMAN
HX82028255.CDS.1	AAK1_HUMAN
YJ404716.CDS.2	AAKB1_HUMAN
ML74662414.CDS.2	AAKB2_HUMAN
IY40478661.CDS.1	AAKG1_HUMAN
IX90343626.CDS.1	AAKG2_HUMAN
AB091913.CDS.1	AAKG3_HUMAN
Z32024.CDS.1	AAMDC_HUMAN
A42434.CDS.1	AAMP_HUMAN
OX36085891.CDS.1	AAPK1_HUMAN
YW586886.CDS.2	AAPK2_HUMAN
CM48535437.CDS.2	AAR2_HUMAN
RU886221.CDS.1	AARD_HUMAN
NL623680.CDS.3	AAS1_HUMAN
WW068836.CDS.1	AASD1_HUMAN
B73900	AASS_HUMAN
JO31125975.CDS.3	AATC2_HUMAN
TS876490.CDS.2	AATC_HUMAN
CZ237567.CDS.2	AATF_HUMAN
LU246937.CDS.3	AATM_HUMAN
O01440.CDS.3	AB12B_HUMAN
CN68418636.CDS.2	AB17A_HUMAN
EE960510.CDS.2	AB17B_HUMAN
F54828.CDS.1	AB17C_HUMAN
RY521248.CDS.1	AB1IP_HUMAN
WQ23870746.CDS.2	ABC3A_HUMAN
BP94782212.CDS.1	ABC3B_HUMAN
PG980558.CDS.1	ABC3C_HUMAN
DH45574077.CDS.1	ABC3D_HUMAN
ND348439.CDS.1	ABC3F_HUMAN
QH994446.CDS.1	ABC3G_HUMAN
P61777.CDS.1	ABC3H_HUMAN
C60799.CDS.2	ABCA1_HUMAN
XF812908.CDS.2	ABCA2_HUMAN
SH49113273.CDS.3	ABCA3_HUMAN
SH94374165.CDS.1	ABCA4_HUMAN
PY32732602.CDS.2	ABCA5_HUMAN
KR784023.CDS.3	ABCA6_HUMAN
PD57824273.CDS.1	ABCA7_HUMAN
PK99189179.CDS.3	ABCA8_HUMAN
FT254406.CDS.1	ABCA9_HUMAN
MM42348370.CDS.1	ABCAA_HUMAN
R44777.CDS.1	ABCAB_HUMAN
JP942575.CDS.1	ABCAC_HUMAN
YZ49759882	ABCAD_HUMAN
F22460.CDS.1	ABCB5_HUMAN
P64772.CDS.1	ABCB6_HUMAN
KP22241601.CDS.2	ABCB7_HUMAN
TT372932.CDS.1	ABCB8_HUMAN
RC45006133.CDS.1	ABCB9_HUMAN
QX44300621.CDS.1	ABCBA_HUMAN
UP720826.CDS.2	ABCBB_HUMAN
JL55277425.CDS.2	ABCC8_HUMAN
TI640309.CDS.1	ABCC9_HUMAN
JX83057649.CDS.1	ABCCB_HUMAN
KT76430074.CDS.2	ABCD1_HUMAN
I64084.CDS.1	ABCD2_HUMAN
QT612745.CDS.1	ABCD3_HUMAN
LG814810.CDS.2	ABCD4_HUMAN
CJ08104878.CDS.2	ABCE1_HUMAN
YG090512.CDS.2	ABCF1_HUMAN
ZU71367236.CDS.2	ABCF2_HUMAN
RN87179447.CDS.1	ABCF3_HUMAN
CK41578759.CDS.1	ABCG1_HUMAN
JZ382394.CDS.3	ABCG2_HUMAN
WF86947385.CDS.1	ABCG4_HUMAN
YX392879.CDS.1	ABCG5_HUMAN
J16599.CDS.1	ABCG8_HUMAN
L87875.CDS.1	ABD12_HUMAN
YS648359	ABD18_HUMAN
NH50964123.CDS.1	ABEC1_HUMAN
YC58673565.CDS.2	ABEC2_HUMAN
AI817459.CDS.1	ABEC4_HUMAN
SE787908.CDS.1	ABH15_HUMAN
M49877.CDS.2	ABHD1_HUMAN
OC474227.CDS.1	ABHD2_HUMAN
HZ912409.CDS.1	ABHD3_HUMAN
SA85579266.CDS.2	ABHD4_HUMAN
FW374566.CDS.1	ABHD5_HUMAN
F12939.CDS.3	ABHD6_HUMAN
KR36843059.CDS.2	ABHD8_HUMAN
M14067.CDS.1	ABHDA_HUMAN
RP592897.CDS.1	ABHDB_HUMAN
ZJ03428884.CDS.1	ABHDD_HUMAN
DM94511599.CDS.1	ABHEA_HUMAN
UD41765291.CDS.3	ABHEB_HUMAN
XJ993014.CDS.1	ABHGA_HUMAN
AT268800	ABHGB_HUMAN
WX47676371.CDS.2	ABI1_HUMAN
R10965.CDS.1	ABI2_HUMAN
FZ873602.CDS.1	ABI3_HUMAN
DQ40133543.CDS.2	ABITM_HUMAN
ZZ87323829.CDS.2	ABL1_HUMAN
TP55686384.CDS.1	ABL2_HUMAN
CS204165.CDS.1	ABLM1_HUMAN
MS96685758.CDS.3	ABLM2_HUMAN
GD234771.CDS.3	ABLM3_HUMAN
ZZ529089.CDS.1	ABRAL_HUMAN
OJ94251281.CDS.1	ABRA_HUMAN
J67740.CDS.1	ABRX1_HUMAN
BH445229.CDS.3	ABRX2_HUMAN
BQ571202.CDS.1	ABR_HUMAN
K42557.CDS.1	ABT1_HUMAN
WS700829.CDS.1	ABTB1_HUMAN
MX64566020.CDS.1	ABTB2_HUMAN
